id,cohort,images_path,images_sha256,images_mode,images_size_wh,labels_path,labels_sha256,labels_mode,labels_size_wh,fov_path,fov_sha256,fov_mode,fov_size_wh,label_intermediate_value_pixels,label_foreground_pixels,label_pixels_ge_128,label_pixels_eq_255,fov_pixels,label_foreground_outside_fov
01_h,healthy,datasets\HRF\images\01_h.jpg,7ab2b3a1bd8765f7b50f5744aa228c9f6c5f2f5a602a7d15ab8782aadc515a27,RGB,"(3504, 2336)",datasets\HRF\labels\01_h.tif,248a0aadd7cb0e53ae2b69ca950a166cfe244939143ec0fec2ee71fa1b39d3a8,L,"(3504, 2336)",datasets\HRF\fov\01_h_mask.tif,4ae93488fe2ebaadb44e010bc3b2ad197a46534922de33b775d59833f2a0a37f,RGB,"(3504, 2336)",0,833888,833888,833888,6913783,0
02_h,healthy,datasets\HRF\images\02_h.jpg,497f7dc3500cbfe144d1858ea8868f3bfe7c5c3d02cdf32418f604f3acb94f88,RGB,"(3504, 2336)",datasets\HRF\labels\02_h.tif,b1a11821a4565bf44a76759e40e85ccbf0eb647b2a81b23880417dc71c2e10ec,L,"(3504, 2336)",datasets\HRF\fov\02_h_mask.tif,7479638ac64297d47bf91b3291a77c437c0250b980233f190fb889fd6aae9b97,RGB,"(3504, 2336)",0,808438,808438,808438,6914369,16
03_h,healthy,datasets\HRF\images\03_h.jpg,966740f181dda395833b39c2be7bac3b1cfe967e05634db9967897c9570851e3,RGB,"(3504, 2336)",datasets\HRF\labels\03_h.tif,80971dadc54d69d8cc364091f8b36cacc742d586629c9dddd9f1e03afd7baa5c,L,"(3504, 2336)",datasets\HRF\fov\03_h_mask.tif,d3075623d6a490b074c0b539e5c5736d7da550a7bd149094a1b1637456ee6e9e,RGB,"(3504, 2336)",0,864171,864171,864171,6912072,45
04_h,healthy,datasets\HRF\images\04_h.jpg,54de5735bc08c610d528e6aa8d7dfdce5d093ab69704d51a20a99e73ca9f5d81,RGB,"(3504, 2336)",datasets\HRF\labels\04_h.tif,c3d33e3099fa3b308fbf2f574b31a71b9394ea5f374ab15fddd321ec033f65a1,L,"(3504, 2336)",datasets\HRF\fov\04_h_mask.tif,7284423c62dfb4baaa285283a30e3b7fdbea56e2bef036b4f7e8838c009a4e75,RGB,"(3504, 2336)",0,771601,771601,771601,6913012,6
05_h,healthy,datasets\HRF\images\05_h.jpg,9d5204c9f6af16e7fbee9b22c56c2d40e5eded794142a470bc4a7e0d39f30fa0,RGB,"(3504, 2336)",datasets\HRF\labels\05_h.tif,53bf9a7a5bc7e8745f221eec7d32af04dcdda63a1acd820c66d7a944ae6f448b,L,"(3504, 2336)",datasets\HRF\fov\05_h_mask.tif,8aaffe2f19d798467d728d7e7eeb1651a5177089a91455108ec6b2496dfc45b7,RGB,"(3504, 2336)",0,738786,738786,738786,6912106,5
06_h,healthy,datasets\HRF\images\06_h.jpg,6918ff93d97f5af4b0beed2045cbc49ba7dbfbe7708a4917cf91365be433b48e,RGB,"(3504, 2336)",datasets\HRF\labels\06_h.tif,6249e3965bcf13ca9eaf129f7b6967f9cd9e4e6898ea5237c10e556eb9b3b042,L,"(3504, 2336)",datasets\HRF\fov\06_h_mask.tif,b5215ec1f88efaa8a0e20450e1a7cbcd6fa43f569ac3c23a2847796733c5030a,RGB,"(3504, 2336)",0,829870,829870,829870,6911584,0
07_h,healthy,datasets\HRF\images\07_h.jpg,62d161eea6e2be9d79a763f613e045923e50b1ea8b74a417abedd492e87e390a,RGB,"(3504, 2336)",datasets\HRF\labels\07_h.tif,3b8907d6e30176672deaf3c0b509c16263221187f63fd13a61882d2162549b90,L,"(3504, 2336)",datasets\HRF\fov\07_h_mask.tif,ab24d62b91b0051a2f45f187f9815bfe8e1c084d443e95bbeb0ab5352507d9f4,RGB,"(3504, 2336)",0,729013,729013,729013,6913172,0
08_h,healthy,datasets\HRF\images\08_h.jpg,7986a1ec978689eaa17072342c543610ff867e62628d970a17eb8364c82df4f1,RGB,"(3504, 2336)",datasets\HRF\labels\08_h.tif,3d6f6868322420a30a5f1364e4bee9a8a1015d6d93fa0068c0ca652dbbcdccfb,L,"(3504, 2336)",datasets\HRF\fov\08_h_mask.tif,e14cbd28a0c875cb94df6e42a2d7056e101eb74bddfab4a99259987e81f2297f,RGB,"(3504, 2336)",0,821627,821627,821627,6912686,0
09_h,healthy,datasets\HRF\images\09_h.jpg,c8e1c033d21262c33720e2ade26336bb01917a939955cd6ef26218860151a498,RGB,"(3504, 2336)",datasets\HRF\labels\09_h.tif,c3a05312828fcd0fe053a06dfbbefb8a08b32898e0fd03ec4b997549717a4995,L,"(3504, 2336)",datasets\HRF\fov\09_h_mask.tif,f3384b8412ba7a25836268709222fa9bba57fd31e2f9f2a25b784371ec99ee98,RGB,"(3504, 2336)",0,636468,636468,636468,6913936,0
10_h,healthy,datasets\HRF\images\10_h.jpg,20b8dd8fed06171d10461ea587be1630f525c76a6573a45305b789e6088f0376,RGB,"(3504, 2336)",datasets\HRF\labels\10_h.tif,32a178063304ea55b59b009d6d0c1c90bcfeee23edd6e6fafe61748381d7b259,L,"(3504, 2336)",datasets\HRF\fov\10_h_mask.tif,debb8767d87257053c0b79770c537028470d5fa32a04c5fd530e188415738c9b,RGB,"(3504, 2336)",0,705438,705438,705438,6913259,0
