key,stratum,count,recovered,regressed,M0_missed,M1_missed
train/105_A.png,thin,7686,352,176,2156,1980
train/105_A.png,thicker,16115,16,12,38,34
train/110_A.png,thin,4721,279,106,1584,1411
train/110_A.png,thicker,6382,44,26,135,117
train/112_A.png,thin,13625,299,204,1512,1417
train/112_A.png,thicker,22017,5,16,77,88
train/113_A.png,thin,5603,174,76,875,777
train/113_A.png,thicker,16758,43,53,126,136
train/117_A.png,thin,5029,388,115,1776,1503
train/117_A.png,thicker,19145,91,51,320,280
train/120_A.png,thin,6768,377,89,2999,2711
train/120_A.png,thicker,12336,60,41,501,482
train/133_A.png,thin,8696,246,120,1021,895
train/133_A.png,thicker,16620,3,8,30,35
train/137_A.png,thin,7208,381,146,1169,934
train/137_A.png,thicker,19208,39,0,66,27
train/138_A.png,thin,3548,297,99,1172,974
train/138_A.png,thicker,13850,138,39,695,596
train/13_A.png,thin,6107,281,118,1862,1699
train/13_A.png,thicker,14758,54,0,104,50
train/143_A.png,thin,4993,383,165,1905,1687
train/143_A.png,thicker,6829,286,40,478,232
train/144_A.png,thin,3663,262,136,1555,1429
train/144_A.png,thicker,9103,175,54,581,460
train/145_A.png,thin,3938,227,68,1337,1178
train/145_A.png,thicker,11716,29,55,105,131
train/154_D.png,thin,10140,403,118,2858,2573
train/154_D.png,thicker,18200,70,38,359,327
train/155_D.png,thin,1164,79,93,391,405
train/155_D.png,thicker,6540,49,74,134,159
train/160_D.png,thin,5463,133,160,2116,2143
train/160_D.png,thicker,16492,16,50,92,126
train/161_D.png,thin,14187,268,208,4554,4494
train/161_D.png,thicker,17510,109,36,350,277
train/164_D.png,thin,8719,302,118,1334,1150
train/164_D.png,thicker,19260,9,5,57,53
train/175_D.png,thin,5522,258,167,2121,2030
train/175_D.png,thicker,16710,123,97,772,746
train/177_D.png,thin,6497,239,83,1274,1118
train/177_D.png,thicker,18442,13,7,42,36
train/184_D.png,thin,6306,262,162,2920,2820
train/184_D.png,thicker,15436,150,2,396,248
train/187_D.png,thin,5381,266,162,3170,3066
train/187_D.png,thicker,11430,116,75,874,833
train/18_A.png,thin,4352,157,131,681,655
train/18_A.png,thicker,17656,28,10,74,56
train/198_D.png,thin,2972,152,100,1104,1052
train/198_D.png,thicker,15140,61,70,310,319
train/202_D.png,thin,4176,150,86,872,808
train/202_D.png,thicker,16207,303,192,2471,2360
train/203_D.png,thin,6248,251,57,933,739
train/203_D.png,thicker,20232,61,23,495,457
train/204_D.png,thin,4784,137,128,1156,1147
train/204_D.png,thicker,17383,73,96,1201,1224
train/222_D.png,thin,745,36,70,243,277
train/222_D.png,thicker,5338,145,139,1290,1284
train/223_D.png,thin,2824,217,94,868,745
train/223_D.png,thicker,11921,23,24,67,68
train/224_D.png,thin,3871,144,71,864,791
train/224_D.png,thicker,13990,107,60,773,726
train/234_D.png,thin,2753,136,118,1145,1127
train/234_D.png,thicker,11461,42,45,605,608
train/23_A.png,thin,9666,314,173,2273,2132
train/23_A.png,thicker,17174,27,56,127,156
train/240_D.png,thin,5348,233,161,1603,1531
train/240_D.png,thicker,15748,119,63,591,535
train/248_D.png,thin,5792,195,81,995,881
train/248_D.png,thicker,14173,4,3,9,8
train/256_D.png,thin,3196,105,101,826,822
train/256_D.png,thicker,3908,69,68,291,290
train/262_D.png,thin,5804,310,82,764,536
train/262_D.png,thicker,16429,12,0,18,6
train/266_D.png,thin,4253,215,109,1902,1796
train/266_D.png,thicker,12328,237,109,2240,2112
train/269_D.png,thin,3539,163,113,1989,1939
train/269_D.png,thicker,14666,284,89,779,584
train/271_D.png,thin,4580,246,125,763,642
train/271_D.png,thicker,17832,88,28,168,108
train/274_D.png,thin,5692,233,199,1263,1229
train/274_D.png,thicker,14961,142,47,410,315
train/276_D.png,thin,5870,199,34,665,500
train/276_D.png,thicker,16739,16,1,22,7
train/277_D.png,thin,6453,560,114,4067,3621
train/277_D.png,thicker,11826,652,165,3769,3282
train/285_D.png,thin,3315,190,98,967,875
train/285_D.png,thicker,8001,105,25,239,159
train/296_D.png,thin,5310,227,203,1831,1807
train/296_D.png,thicker,13180,84,9,622,547
train/299_D.png,thin,1815,152,34,856,738
train/299_D.png,thicker,8377,101,130,933,962
train/304_G.png,thin,7136,602,201,2852,2451
train/304_G.png,thicker,15237,265,22,823,580
train/307_G.png,thin,6073,195,179,2356,2340
train/307_G.png,thicker,14942,66,61,658,653
train/312_G.png,thin,6146,139,62,648,571
train/312_G.png,thicker,17164,23,0,27,4
train/316_G.png,thin,497,55,5,351,301
train/316_G.png,thicker,1681,92,31,1312,1251
train/320_G.png,thin,9993,377,151,3249,3023
train/320_G.png,thicker,17438,110,11,454,355
train/325_G.png,thin,751,65,25,284,244
train/325_G.png,thicker,5888,123,53,887,817
train/330_G.png,thin,4936,167,213,1539,1585
train/330_G.png,thicker,11449,89,91,757,759
train/332_G.png,thin,3492,169,109,877,817
train/332_G.png,thicker,15335,75,44,338,307
train/335_G.png,thin,3907,238,100,1535,1397
train/335_G.png,thicker,15119,109,33,742,666
train/340_G.png,thin,10063,366,98,4066,3798
train/340_G.png,thicker,16555,27,2,67,42
train/350_G.png,thin,3333,211,54,953,796
train/350_G.png,thicker,10726,47,23,151,127
train/351_G.png,thin,5016,199,109,665,575
train/351_G.png,thicker,16746,8,1,19,12
train/353_G.png,thin,2473,184,157,555,528
train/353_G.png,thicker,10604,37,45,108,116
train/360_G.png,thin,1305,99,116,629,646
train/360_G.png,thicker,5802,352,62,2261,1971
train/365_G.png,thin,2550,168,78,1100,1010
train/365_G.png,thicker,13615,40,33,885,878
train/368_G.png,thin,6980,162,116,2044,1998
train/368_G.png,thicker,15294,3,16,260,273
train/370_G.png,thin,8197,343,117,2727,2501
train/370_G.png,thicker,16293,22,37,38,53
train/371_G.png,thin,5426,158,100,1745,1687
train/371_G.png,thicker,9338,16,54,269,307
train/375_G.png,thin,4483,319,118,1430,1229
train/375_G.png,thicker,12842,138,175,2044,2081
train/378_G.png,thin,5615,157,49,553,445
train/378_G.png,thicker,19307,109,29,1114,1034
train/38_A.png,thin,4578,232,74,1433,1275
train/38_A.png,thicker,14337,61,25,261,225
train/396_G.png,thin,9189,415,151,2757,2493
train/396_G.png,thicker,18579,13,13,46,46
train/3_A.png,thin,7229,368,160,2184,1976
train/3_A.png,thicker,17712,21,37,114,130
train/406_G.png,thin,8032,443,231,2552,2340
train/406_G.png,thicker,15250,86,129,385,428
train/417_G.png,thin,9975,242,155,2090,2003
train/417_G.png,thicker,18753,33,44,818,829
train/421_G.png,thin,9127,344,220,1789,1665
train/421_G.png,thicker,19700,14,24,257,267
train/429_G.png,thin,4974,189,216,1606,1633
train/429_G.png,thicker,14650,136,23,270,157
train/430_G.png,thin,3841,317,55,1010,748
train/430_G.png,thicker,14293,18,13,59,54
train/435_G.png,thin,9327,247,161,1130,1044
train/435_G.png,thicker,20736,22,2,93,73
train/437_G.png,thin,6545,166,59,844,737
train/437_G.png,thicker,18476,6,7,45,46
train/442_G.png,thin,3470,272,119,1130,977
train/442_G.png,thicker,10119,90,20,336,266
train/444_G.png,thin,5827,176,61,601,486
train/444_G.png,thicker,18125,12,46,57,91
train/453_N.png,thin,7823,360,143,2155,1938
train/453_N.png,thicker,20430,115,35,535,455
train/459_N.png,thin,5227,236,143,1819,1726
train/459_N.png,thicker,17183,80,6,166,92
train/471_N.png,thin,6853,213,118,1698,1603
train/471_N.png,thicker,18659,12,1,29,18
train/472_N.png,thin,8591,155,125,1081,1051
train/472_N.png,thicker,20166,22,18,60,56
train/476_N.png,thin,8474,155,56,775,676
train/476_N.png,thicker,20911,1,1,3,3
train/486_N.png,thin,9371,352,146,2052,1846
train/486_N.png,thicker,21772,31,8,101,78
train/487_N.png,thin,4159,164,90,1078,1004
train/487_N.png,thicker,17467,35,10,183,158
train/489_N.png,thin,8029,199,93,1307,1201
train/489_N.png,thicker,19477,18,23,121,126
train/491_N.png,thin,10189,313,105,2474,2266
train/491_N.png,thicker,20463,54,8,83,37
train/49_A.png,thin,13094,289,218,4026,3955
train/49_A.png,thicker,17589,19,16,58,55
train/505_N.png,thin,12817,255,185,1922,1852
train/505_N.png,thicker,18840,20,11,248,239
train/511_N.png,thin,6115,255,61,1031,837
train/511_N.png,thicker,20061,53,5,176,128
train/522_N.png,thin,6215,154,72,543,461
train/522_N.png,thicker,19237,25,3,74,52
train/526_N.png,thin,4234,111,63,648,600
train/526_N.png,thicker,19252,38,36,281,279
train/536_N.png,thin,4482,179,104,1041,966
train/536_N.png,thicker,18418,109,26,314,231
train/541_N.png,thin,4459,160,45,857,742
train/541_N.png,thicker,18530,45,14,187,156
train/542_N.png,thin,6666,259,170,1364,1275
train/542_N.png,thicker,20010,31,13,142,124
train/546_N.png,thin,4385,323,223,1563,1463
train/546_N.png,thicker,17625,136,72,471,407
train/547_N.png,thin,6335,213,128,792,707
train/547_N.png,thicker,19108,47,16,201,170
train/553_N.png,thin,7772,183,58,898,773
train/553_N.png,thicker,19074,24,4,98,78
train/555_N.png,thin,10190,447,138,1805,1496
train/555_N.png,thicker,20621,15,8,63,56
train/559_N.png,thin,7896,173,110,705,642
train/559_N.png,thicker,20047,7,8,57,58
train/561_N.png,thin,7313,259,126,1352,1219
train/561_N.png,thicker,18188,47,1,171,125
train/566_N.png,thin,6263,268,165,936,833
train/566_N.png,thicker,18078,45,14,139,108
train/572_N.png,thin,6774,188,86,572,470
train/572_N.png,thicker,18830,10,2,39,31
train/573_N.png,thin,8576,220,144,1115,1039
train/573_N.png,thicker,19724,10,7,38,35
train/580_N.png,thin,6486,368,48,1093,773
train/580_N.png,thicker,19847,23,24,62,63
train/583_N.png,thin,8715,234,118,946,830
train/583_N.png,thicker,18251,13,6,43,36
train/584_N.png,thin,10062,250,123,1039,912
train/584_N.png,thicker,18790,9,3,55,49
train/590_N.png,thin,7699,316,133,1070,887
train/590_N.png,thicker,19690,24,10,112,98
train/597_N.png,thin,11946,193,70,1000,877
train/597_N.png,thicker,17798,11,0,23,12
train/64_A.png,thin,6159,164,62,1029,927
train/64_A.png,thicker,16131,12,14,205,207
train/6_A.png,thin,9348,292,196,1355,1259
train/6_A.png,thicker,17640,3,10,23,30
train/72_A.png,thin,13032,419,265,2991,2837
train/72_A.png,thicker,14518,1,0,4,3
train/81_A.png,thin,5908,119,69,830,780
train/81_A.png,thicker,16945,17,16,134,133
train/84_A.png,thin,4209,357,104,1624,1371
train/84_A.png,thicker,10565,118,24,766,672
train/88_A.png,thin,4534,151,150,1371,1370
train/88_A.png,thicker,16347,52,20,319,287
train/8_A.png,thin,6853,249,142,3278,3171
train/8_A.png,thicker,15174,68,18,221,171
train/91_A.png,thin,4350,236,126,1633,1523
